Time (s),Heater Inlet Temp (degC),Heater Outlet Temp (degC),CTAH Inlet Temp (degC),CTAH Outlet Temp (degC)
3050,78.852,86.976,86.173,80.213
3060,78.852,86.984,86.173,80.281
3070,78.852,86.991,86.173,80.206
3080,78.852,86.999,86.173,80.131
3090,78.852,87.006,86.173,80.056
3100,78.852,87.014,86.173,79.981
3110,78.852,87.021,86.173,79.906
3120,78.852,87.029,86.173,79.831
3130,78.852,87.036,86.173,79.755
3140,78.852,87.042,86.173,79.68
3150,78.852,87.048,86.173,79.714
3160,78.852,87.053,86.173,79.819
3170,78.852,87.059,86.173,79.924
3180,78.852,87.064,86.178,80.03
3190,78.852,87.069,86.195,80.113
3200,78.852,87.075,86.212,80.095
3210,78.852,87.08,86.229,80.076
3220,78.852,87.086,86.247,80.058
3230,78.852,87.091,86.264,80.039
3240,78.852,87.097,86.281,80.021
3250,78.852,87.102,86.298,80.002
3260,78.852,87.092,86.31,79.984
3270,78.852,87.068,86.318,79.968
3280,78.857,87.044,86.326,79.952
3290,78.873,87.02,86.334,79.936
3300,78.889,86.996,86.342,79.92
3310,78.905,86.972,86.35,79.904
3320,78.921,87.33,86.358,79.888
3330,78.937,87.69,86.366,79.872
3340,78.953,88.051,86.391,79.856
3350,78.969,88.411,86.471,79.951
3360,78.985,88.786,86.551,80.101
3370,79.001,90.709,86.631,80.251
3380,79.017,91.022,86.711,80.402
3390,79.033,91.16,87.162,80.617
3400,79.049,91.297,88.633,81.038
3410,79.065,91.434,89.114,81.445
3420,79.081,91.572,89.595,81.345
3430,79.097,91.709,90.017,81.245
3440,79.113,91.847,90.337,81.145
3450,79.217,91.978,90.658,80.65
3460,79.357,92.076,90.971,80.361
3470,79.497,92.173,91.102,80.325
3480,79.564,92.271,91.233,80.289
3490,79.511,92.369,91.364,80.253
3500,79.459,92.466,91.495,80.217
3510,79.406,92.564,91.626,80.183
3520,79.354,92.662,91.757,80.183
3530,79.301,92.759,91.764,80.183
3540,79.248,92.823,91.764,80.183
3550,79.196,92.805,91.764,80.183
3560,79.143,92.786,91.764,80.182
3570,79.118,92.768,91.764,80.175
3580,79.118,92.749,91.764,80.167
3590,79.118,92.731,91.764,80.16
3600,79.118,92.712,91.764,80.152
3610,79.118,92.694,91.764,80.145
3620,79.118,92.675,91.764,80.137
3630,79.118,92.657,91.756,80.13
3640,79.118,92.638,91.739,80.122
3650,79.118,92.62,91.722,80.118
3660,79.118,92.601,91.705,80.126
3670,79.118,92.583,91.688,80.133
3680,79.118,92.564,91.67,80.141
3690,79.111,92.593,91.653,80.148
3700,79.104,92.627,91.636,80.156
3710,79.096,92.662,91.619,80.163
3720,79.089,92.696,91.602,80.171
3730,79.081,92.73,91.585,80.178
3740,79.074,92.765,91.567,80.174
3750,79.066,92.799,91.581,80.148
3760,79.059,92.829,91.602,80.122
3770,79.051,92.829,91.624,80.097
3780,79.04,92.829,91.645,80.071
3790,79.029,92.829,91.666,80.045
3800,79.018,92.829,91.687,80.019
3810,79.007,92.829,91.708,79.994
3820,78.997,92.829,91.73,79.974
3830,78.986,92.829,91.751,79.958
3840,78.985,92.829,91.769,79.942
3850,78.985,92.829,91.781,79.926
3860,78.985,92.829,91.794,79.91
3870,78.985,92.829,91.807,79.894
3880,78.985,92.829,91.819,79.878
3890,78.985,92.793,91.832,79.861
3900,78.985,92.756,91.845,79.86
3910,78.985,92.719,91.857,79.892
3920,78.985,92.682,91.87,79.924
3930,78.985,92.645,91.883,79.956
3940,78.985,92.608,91.895,79.988
3950,78.985,92.571,91.897,80.02
3960,78.985,92.599,91.897,80.052
3970,78.985,92.647,91.897,80.084
3980,78.985,92.695,91.897,80.116
3990,78.985,92.743,91.897,80.108
4000,78.985,92.791,91.897,80.099
4010,78.998,92.949,91.909,80.091
4020,79.016,93.483,91.962,80.082
4030,79.033,94.017,92.016,80.074
4040,79.05,94.551,92.069,80.065
4050,79.067,95.086,92.123,80.056
4060,79.084,95.57,92.395,80.131
4070,79.101,95.899,93.389,80.468
4080,79.12,96.227,94.573,80.804
4090,79.175,96.556,95.114,81.11
4100,79.231,96.884,95.655,81.38
4110,79.286,97.213,95.994,81.514
4120,79.342,97.541,96.286,81.257
4130,79.397,97.87,96.578,80.999
4140,79.452,98.199,96.87,80.742
4150,79.508,98.255,96.957,80.529
4160,79.517,98.293,97.031,80.389
4170,79.517,98.331,97.104,80.248
4180,79.517,98.369,97.178,80.116
4190,79.517,98.407,97.251,80.11
4200,79.517,98.445,97.325,80.103
4210,79.517,98.483,97.398,80.097
4220,79.507,98.521,97.471,80.091
